id,species,y,dist
224,Glyptotermes insulanus,366,Distribution: Ethiopian Region—São Tomé and Principe.
224,Glyptotermes iridipennis,569,"Distribution: Australian Region—Australia: New South Wales, South Australia, Victoria."
226,Glyptotermes kachongensis,80,Distribution: Oriental Region—Malaysia: Mainland; Thailand.
226,Glyptotermes kawandae,261,Distribution: Ethiopian Region—Uganda.
226,Glyptotermes kirbyi,465,Distribution: Oriental Region—Indonesia: Sumatra.
227,Glyptotermes kunakensis,80,Distribution: Oriental Region—Malaysia: Sabah.
227,Glyptotermes laticaudomunitus,219,Distribution: Oriental Region—Malaysia: Sabah.
227,Glyptotermes latignathus,346,Distribution: Oriental Region—China: Sichuan.
228,Glyptotermes liangshanensis,151,Distribution: Oriental Region—China: Sichuan.
228,Glyptotermes liberatus,366,Distribution: Neotropical Region—Cuba; Dominican Republic; Haiti; Jamaica; Puerto Rico;  Virgin Islands.
229,Glyptotermes lighti,80,"Distribution: Papuan Region—Marshall Islands, Solomon Islands."
229,Glyptotermes limulingensis,192,"Distribution: Oriental Region—China: Guangdong, Hainan."
229,Glyptotermes longipennis,373,Distribution: Neotropical Region—Colombia.
229,Glyptotermes longnanensis,500,"Distribution: Oriental Region—China: Gansu, Hubei, Sichuan."
230,Glyptotermes longuisculus,173,Distribution: Ethiopian Region—Congo-Zaire.
230,Glyptotermes luteus,399,Distribution: Papuan Region—Indonesia: Maluku (Moluccas).
230,Glyptotermes maculifrons,536,"Distribution: Oriental Region—China: Fujian, Guangdong."
231,Glyptotermes magsaysayi,331,Distribution: Oriental Region—Philippines: Luzon.
232,Glyptotermes marlatti,174,Distribution: Neotropical Region—Costa Rica.
232,Glyptotermes minutus,345,Distribution: Oriental Region—Sri Lanka.
233,Glyptotermes montanus,151,Distribution: Oriental Region—Indonesia: Java.
233,Glyptotermes nadaensis,491,Distribution: Oriental Region—China: Guangdong.
234,Glyptotermes nakajimai,80,Distribution: Oriental Region—Bonin Islands [Ogasawara Islands].
234,Glyptotermes neoborneensis,501,Distribution: Oriental Region—Malaysia: Sabah.
235,Glyptotermes nevermani,80,Distribution: Neotropical Region—Costa Rica.
236,Glyptotermes nissanensis,80,Distribution: Papuan Region—Papua New Guinea.
236,Glyptotermes orthognathus,180,Distribution: Oriental Region—China: Sichuan.
236,Glyptotermes palauensis,361,Distribution: Papuan Region—Federated States of Micronesia: Caroline Islands; Palau.
236,†Glyptotermes paleoliberatus,474,Distribution: Neotropical Region—Dominican Republic.
237,Glyptotermes panaitanensis,80,Distribution: Oriental Region—Indonesia: Java.
237,Glyptotermes parki,578,Distribution: Ethiopian Region—Congo-Zaire; Rwanda; Uganda.
240,Glyptotermes pinangae,250,"Distribution: Oriental Region—Malaysia: Mainland, Sabah, Sarawak; Thailand."
241,Glyptotermes planus,80,Distribution: Neotropical Region—Costa Rica.
241,Glyptotermes posticus,262,Distribution: Neotropical Region—Cuba; Haiti; Jamaica; US Virgin Islands.
241,Glyptotermes pubescens,598,Distribution: Neotropical Region—Puerto Rico.
242,†Glyptotermes pusillus,272,Distribution: Ethiopian Region—Tanzania.
243,Glyptotermes reticulatus,302,Distribution: Ethiopian Region—Tanzania: Zanzibar Island.
243,Glyptotermes rotundifrons,472,Distribution: Neotropical Region—Panama Canal Zone.
244,Glyptotermes satsumensis,80,"Distribution: Oriental Region—China: Guangdong, Guangxi, Hainan, Hunan, Sichuan,   Yunnan; Japan: Ryukyu Islands; Taiwan."
246,Glyptotermes scotti,80,Distribution: Ethiopian Region—Seychelles.
246,Glyptotermes seeversi,272,Distribution: Neotropical Region—Mexico: Veracruz.
246,Glyptotermes sensarmai,420,Distribution: Oriental Region—Bangladesh; India: West Bengal.
247,Glyptotermes sepilokensis,80,Distribution: Oriental Region—Indonesia: Sulawesi; Malaysia: Sabah.
247,Glyptotermes shaanxiensis,250,Distribution: Palaearctic–China: Shaanxi.
247,†Glyptotermes shandongianus,468,Distribution: Palaearctic–China: Shandong (Shantung).
248,Glyptotermes sicki,80,Distribution: Neotropical Region—Brazil: Rio de Janeiro.
250,Glyptotermes teknafensis,80,Distribution: Oriental Region—Bangladesh; India: West Bengal.
250,Glyptotermes thailandis,318,Distribution: Oriental Region—Thailand.
250,Glyptotermes tikaderi,456,Distribution: Oriental Region—India: Arunachal Pradesh.
251,Glyptotermes tripurensis,80,Distribution: Oriental Region—India: Tripura.
251,Glyptotermes truncatus,333,Distribution: Neotropical Region—Colombia.
251,Glyptotermes tsaii,472,Distribution: Oriental Region—China: Yunnan.
252,Glyptotermes tuberculatus,80,"Distribution: Australian Region—Australia: New South Wales, Queensland; New Zealand."
252,Glyptotermes tuberifer,592,Distribution: Neotropical Region—Saint Vincent.
254,Glyptotermes verrucosus,80,Distribution: Neotropical Region—Costa Rica.
254,Glyptotermes xantholabrum,305,Distribution: Papuan Region—French Polynesia: Marquesas Islands; New Hebrides; Papua New  Guinea: New Britain; Samoa.
255,Glyptotermes xiamenensis,265,Distribution: Oriental Region—China: Fujian.
256,Glyptotermes yui,80,"Distribution: Oriental Region—China: Guangdong, Hainan."
256,Glyptotermes zhaoi,261,Distribution: Oriental Region—China: Fujian.
257,Incisitermes banksi,421,"Distribution: Nearctic Region—USA: Arizona, Texas."
260,Incisitermes fruticavus,217,Distribution: Nearctic Region—USA: California.
260,Incisitermes furvus,410,Distribution: Neotropical Region—Puerto Rico.
260,Incisitermes galapagoensis,581,Distribution: Neotropical Region—Ecuador: Galápagos Islands.
261,Incisitermes immigrans,206,Distribution: Neotropical Region—Ecuador: Galápagos Islands; El Salvador; Guatemala;    Nicaragua; Panama Canal Zone; Peru.
263,Incisitermes inamurai,299,Distribution: Oriental Region—Taiwan.
264,Incisitermes incisus,173,Distribution: Neotropical Region—Bahamas; Barbados; Dominica; Guadeloupe; Guana; Mona;  Montserrat; Puerto Rico; US and British Virgin Islands; Venezuela.
265,†Incisitermes krishnai,80,Distribution: Neotropical Region—Mexico: Chiapas.
268,Incisitermes milleri,80,Distribution: Nearctic Region—USA: Florida.
268,Incisitermes minor,562,"Distribution: Nearctic Region—Mexico: Baja California, Sonora; USA: Arizona, California,    Georgia, Iowa, Louisiana, Maryland, Nevada, New Jersey, New York, Oklahoma, Pennsylvania: introduced, Texas; Canada: Toronto: introduced."
271,Incisitermes nigritus,299,Distribution: Nearctic Region—USA: California: intercepted.
279,Incisitermes tabogae,80,Distribution: Neotropical Region—Belize; Cayman Islands; Dominica; Guadeloupe; Honduras;  Martinique; Nicaragua; Panama; Trinidad.
280,†Kachinitermes tristis,356,Distribution: Oriental Region—Myanmar [= Burma].
281,†Kachinitermopsis burmensis,187,Distribution: Oriental Region—Myanmar [= Burma].
284,Kalotermes approximatus,80,"Distribution: Nearctic Region—USA: Florida, Georgia, Louisiana, Texas, Virginia."
286,†Kalotermes bosniaskii,295,Distribution: Palaearctic Region—Italy: Mainland.
286,Kalotermes brouni,492,Distribution: Australian Region—New Zealand: Chatham Island.
289,Kalotermes dispar,80,Distribution: Palaearctic Region—Canary Islands.
298,Kalotermes jepsoni,80,Distribution: Oriental Region—Sri Lanka.
299,†Kalotermes nigellus,80,Distribution: Palaearctic Region—China: Shandong.
299,†Kalotermes nisus,208,Distribution: Palaearctic Region—China: Shandong.
299,†Kalotermes oeningensis,336,Distribution: Palaearctic Region—Germany.
299,Kalotermes pallidinotum,534,Distribution: Australian Region—Australia: New South Wales.
301,Kalotermes rufinotum,80,"Distribution: Australian Region—Australia: Capital Territory, New South Wales, Victoria."
302,Kalotermes sinaicus,80,Distribution: Palaearctic Region—Egypt; Israel.
302,Kalotermes umtatae,261,Distribution: Ethiopian Region—South Africa.
307,Neotermes acceptus,261,Distribution: Neotropical Region—Brazil: Mato Grosso.
307,Neotermes adampurensis,400,Distribution: Oriental Region—Bangladesh.
307,Neotermes agilis,584,Distribution: Ethiopian Region—Cameroon; Nigeria.
308,Neotermes amplilabralis,207,Distribution: Oriental Region—China: Yunnan.
308,Neotermes andamanensis,389,Distribution: Oriental Region—India: Andaman Islands.
309,Neotermes aridus,512,Distribution: Ethiopian Region—Ethiopia; Kenya.
310,Neotermes arthurimuelleri,80,Distribution: Neotropical Region—Brazil: Rio de Janeiro.
311,Neotermes assamensis,80,Distribution: Oriental Region—India: Assam.
314,Neotermes brachynotum,80,"Distribution: Oriental Region—China: Hainan, Guangdong, Guangxi."
